sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,sys_CBC_SunscreenCBC1_design,sys_CBC_SunscreenCBC1_design_info,SunscreenCBC1_Rating1_r1,SunscreenCBC1_Rating1_r2,SunscreenCBC1_Rating1_r3,SunscreenCBC1_Rating1_r4,SunscreenCBC1_Rating3_r1,SunscreenCBC1_Rating3_r2,SunscreenCBC1_Rating4_r1,SunscreenCBC1_Rating4_r2,SunscreenCBC1_Rating5_r1,SunscreenCBC1_Rating5_r2,SunscreenCBC1_Rating6_r1,SunscreenCBC1_Rating6_r2,SunscreenCBC1_Rating6_r3,SunscreenCBC1_Choice1,SunscreenCBC1_Choice2,SunscreenCBC1_Choice3,SunscreenCBC1_Choice4,SunscreenCBC1_Choice5,SunscreenCBC1_Choice6,SunscreenCBC1_Choice7,SunscreenCBC1_Choice8,SunscreenCBC1_Choice9,SunscreenCBC1_Choice10,SunscreenCBC1_Choice11,SunscreenCBC1_Choice12,SunscreenCBC1_Choice13,SunscreenCBC1_Choice14,SunscreenCBC1_Choice15,SunscreenCBC1_Choice16,Q7,Q8
47,04 Nov 2018 - 23:21:56 PST,04 Nov 2018 - 23:25:23 PST,0h 3m 27s,0h 3m 25s,1541402516,1541402723,1,5,,Q9,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36",Mac OS X 10.14.1,Chrome 70.0.3538.77,73.158.19.55,1393,,"[[1,3,3,2,2,2,3],[2,4,1,2,1,2,2],[3,1,2,1,2,1,3],[4,1,1,2,1,1,1],[5,1,3,2,2,2,2],[6,4,1,1,2,2,3],[7,4,2,1,2,1,2],[8,3,2,2,1,1,3],[9,2,3,1,1,2,3],[10,1,2,1,2,2,2],[11,4,1,2,2,2,3],[12,2,1,2,1,1,3],[13,4,1,1,1,2,2],[14,4,2,1,2,1,1],[15,2,3,2,2,1,3],[16,1,1,2,2,1,1],[17,3,3,1,1,1,3],[18,2,2,2,2,2,2],[19,2,2,1,1,1,1],[20,1,2,2,1,2,1],[21,3,3,2,2,2,3],[22,3,1,1,2,2,1],[23,4,2,2,1,2,3],[24,2,3,1,1,1,2],[25,3,1,1,1,1,2],[26,3,1,2,2,2,1],[27,2,2,2,1,2,1],[28,4,1,2,1,1,2],[29,3,3,2,1,1,3],[30,3,2,1,2,2,2],[31,4,1,2,2,1,1],[32,1,2,1,1,2,3],[33,2,3,1,2,1,2],[34,4,2,1,1,2,1],[35,2,1,1,2,1,3],[36,1,3,2,1,1,2],[37,4,2,1,1,1,1],[38,2,2,2,2,1,1],[39,1,3,2,1,2,2],[40,2,1,1,1,2,1],[41,4,2,2,2,1,3],[42,2,3,1,2,2,2],[43,1,1,1,2,2,1],[44,1,3,1,2,1,3],[45,3,2,2,1,2,2],[46,3,1,1,1,1,1],[47,3,3,2,2,1,2],[48,1,3,1,1,2,3]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",2,2,3,4,1,2,2,2,2,2,1,2,1,1,2,2,1,3,3,2,3,3,3,3,3,3,3,3,2,3,2
48,04 Nov 2018 - 23:40:09 PST,04 Nov 2018 - 23:42:37 PST,0h 2m 28s,0h 2m 27s,1541403609,1541403757,1,5,,Q9,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36",Mac OS X 10.12.6,Chrome 70.0.3538.77,2601:644:4480:1f92:999d:b7b3:1994:dc10,1440,,"[[1,2,2,2,1,2,1],[2,4,1,1,2,1,3],[3,3,1,2,2,2,1],[4,3,1,2,2,1,2],[5,1,3,1,2,2,3],[6,4,2,2,1,2,1],[7,3,1,1,1,1,1],[8,2,3,2,2,2,3],[9,1,3,2,1,1,2],[10,4,1,1,2,2,3],[11,2,2,1,1,1,1],[12,3,3,2,1,1,2],[13,4,1,2,2,1,1],[14,1,3,1,1,2,3],[15,2,3,1,2,1,2],[16,2,1,1,1,2,1],[17,2,2,2,1,1,3],[18,4,2,2,2,1,2],[19,1,1,1,2,2,2],[20,2,3,2,2,2,3],[21,3,2,2,1,1,3],[22,4,1,2,1,2,2],[23,4,2,1,1,1,3],[24,3,3,1,2,1,2],[25,2,2,1,2,1,1],[26,3,1,2,1,2,3],[27,3,2,2,2,2,2],[28,2,1,1,2,2,2],[29,4,2,2,2,2,1],[30,2,3,1,1,1,2],[31,3,2,1,1,2,1],[32,1,3,2,1,1,3],[33,3,2,1,2,1,1],[34,1,1,1,2,1,1],[35,1,2,1,1,2,2],[36,3,3,2,2,1,3],[37,1,2,1,2,1,3],[38,1,3,2,1,2,2],[39,4,1,1,1,1,2],[40,2,1,2,1,1,3],[41,4,1,1,1,2,1],[42,1,2,2,2,2,1],[43,1,1,2,1,1,1],[44,4,2,2,2,2,2],[45,3,3,1,1,2,3],[46,1,1,2,2,1,1],[47,2,3,1,2,2,2],[48,4,2,1,1,2,3]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",3,3,4,1,3,1,3,3,3,2,3,3,3,1,2,2,2,3,2,2,2,1,3,1,1,3,1,4,2,2,2
49,04 Nov 2018 - 23:48:17 PST,04 Nov 2018 - 23:52:32 PST,0h 4m 15s,0h 4m 10s,1541404097,1541404352,1,5,,Q9,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36",Windows 10.0,Chrome 70.0.3538.77,72.203.113.118,1336,,"[[1,4,2,1,2,1,3],[2,1,2,1,1,1,2],[3,1,1,2,1,2,1],[4,3,3,1,1,2,2],[5,2,1,2,2,1,1],[6,1,2,2,1,1,3],[7,2,1,1,2,2,1],[8,1,3,2,1,2,3],[9,4,2,2,2,1,2],[10,1,2,1,2,1,1],[11,2,2,2,1,2,1],[12,3,1,2,2,1,1],[13,1,1,1,1,2,2],[14,3,3,2,2,1,3],[15,2,3,1,1,2,3],[16,4,1,2,1,2,2],[17,1,3,1,2,1,2],[18,3,2,1,1,2,1],[19,4,2,1,2,2,1],[20,4,1,1,2,2,3],[21,2,3,2,1,1,2],[22,4,1,2,1,1,1],[23,2,3,1,1,2,2],[24,4,1,2,2,2,3],[25,3,2,2,1,2,1],[26,4,1,2,2,1,2],[27,2,2,1,2,2,3],[28,4,1,1,2,2,1],[29,3,3,2,1,2,2],[30,3,3,1,2,1,3],[31,2,1,1,1,1,3],[32,1,3,2,2,2,3],[33,2,2,2,2,1,2],[34,1,1,1,1,1,1],[35,1,3,1,2,2,2],[36,3,2,2,1,1,3],[37,3,1,2,2,2,3],[38,2,3,2,2,1,2],[39,4,2,1,1,1,3],[40,4,2,1,1,1,1],[41,1,3,2,2,2,3],[42,3,1,1,1,1,2],[43,3,2,2,2,2,2],[44,2,3,2,1,1,3],[45,2,2,1,2,2,1],[46,4,2,2,1,2,2],[47,1,1,1,2,1,1],[48,3,3,1,1,1,3]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",1,1,2,3,2,2,3,2,1,3,1,3,1,4,1,3,4,1,1,4,2,4,2,4,2,4,4,1,1,2,2
50,05 Nov 2018 - 00:31:53 PST,05 Nov 2018 - 00:36:25 PST,0h 4m 32s,0h 4m 28s,1541406713,1541406985,1,5,,Q9,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36",Mac OS X 10.10.5,Chrome 70.0.3538.77,181.129.38.106,1309,,"[[1,2,1,1,2,1,1],[2,1,3,1,1,2,2],[3,2,2,2,1,2,3],[4,4,2,2,1,2,1],[5,4,1,2,2,1,3],[6,2,3,1,1,1,2],[7,4,1,2,1,1,2],[8,4,2,1,2,2,1],[9,1,3,2,2,2,3],[10,3,3,2,1,2,2],[11,4,2,1,1,2,3],[12,2,1,2,2,1,1],[13,3,1,1,2,1,2],[14,4,2,2,1,2,3],[15,2,3,1,1,2,2],[16,1,1,1,1,2,1],[17,3,3,2,2,1,3],[18,3,1,2,1,1,1],[19,2,2,1,2,2,3],[20,3,3,1,1,1,3],[21,1,3,2,1,1,2],[22,1,2,1,1,2,1],[23,2,2,2,1,1,1],[24,1,3,1,2,1,3],[25,4,1,1,2,2,3],[26,3,3,1,2,2,2],[27,2,2,2,1,1,2],[28,4,1,1,1,1,2],[29,1,1,2,2,2,1],[30,3,1,2,1,2,3],[31,1,1,2,1,1,1],[32,1,3,1,2,1,3],[33,3,2,2,2,2,2],[34,4,2,2,2,1,2],[35,2,1,1,2,2,3],[36,3,3,1,1,1,3],[37,2,1,2,2,2,2],[38,3,2,1,2,1,1],[39,3,2,1,1,2,1],[40,4,2,1,2,1,1],[41,1,3,2,2,2,2],[42,3,1,1,1,2,3],[43,1,2,2,2,1,3],[44,2,3,2,2,2,2],[45,4,1,1,1,1,1],[46,4,1,2,2,2,1],[47,1,2,1,2,1,2],[48,2,3,2,1,1,3]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",3,2,3,4,1,3,2,3,1,3,1,3,1,2,3,4,1,3,4,3,4,2,4,4,4,4,2,2,4,2,2
51,05 Nov 2018 - 00:48:04 PST,05 Nov 2018 - 00:55:54 PST,0h 7m 50s,0h 7m 47s,1541407684,1541408154,1,5,,Q9,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36",Windows 10.0,Chrome 70.0.3538.77,2601:203:c000:e2b6:e8c3:7045:99ee:d3b0,1366,,"[[1,2,2,2,1,2,3],[2,1,1,1,2,2,1],[3,2,3,2,2,1,2],[4,2,3,2,1,1,2],[5,3,1,2,2,1,1],[6,4,1,1,2,2,3],[7,1,1,2,2,2,2],[8,3,2,1,2,1,1],[9,1,3,2,1,2,3],[10,3,1,2,2,1,3],[11,2,1,1,1,1,1],[12,4,2,2,1,2,1],[13,1,3,2,2,1,3],[14,3,2,2,1,2,3],[15,3,3,1,1,1,2],[16,4,2,2,1,1,1],[17,1,3,1,1,1,3],[18,3,1,1,2,2,2],[19,3,2,2,2,1,1],[20,2,3,2,2,2,2],[21,2,1,1,1,2,3],[22,2,2,2,2,2,1],[23,4,1,1,1,2,2],[24,4,1,1,2,1,3],[25,1,1,2,1,1,1],[26,2,2,1,1,1,1],[27,4,2,1,2,2,1],[28,1,1,2,1,2,1],[29,3,3,1,1,2,2],[30,4,2,1,2,1,3],[31,4,1,2,1,1,3],[32,2,3,2,2,2,2],[33,3,2,1,2,2,1],[34,4,1,2,1,1,2],[35,3,3,1,1,2,2],[36,2,2,1,2,2,3],[37,4,1,2,2,2,1],[38,3,3,1,1,2,3],[39,1,2,1,2,1,2],[40,2,3,1,2,1,3],[41,4,2,2,2,1,2],[42,3,2,2,1,2,2],[43,3,3,2,1,1,3],[44,1,2,1,1,2,1],[45,1,3,1,2,1,2],[46,1,2,1,1,1,2],[47,1,3,2,2,2,3],[48,2,1,1,1,1,1]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",3,3,3,2,2,3,2,3,1,3,2,3,3,2,3,1,4,4,3,2,1,3,4,2,3,1,4,3,2,3,3
52,05 Nov 2018 - 02:27:57 PST,05 Nov 2018 - 02:34:15 PST,0h 6m 18s,0h 4m 42s,1541413677,1541414055,1,5,,Q9,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",Mac OS X 10.12.3,Chrome 69.0.3497.100,130.226.41.17,1048,,"[[1,4,2,2,1,2,1],[2,2,1,1,1,1,2],[3,1,3,1,2,1,2],[4,2,2,1,1,1,1],[5,1,1,1,1,2,1],[6,3,2,2,2,1,1],[7,1,3,1,2,1,3],[8,4,2,2,1,2,1],[9,3,3,1,2,2,2],[10,1,1,1,1,2,1],[11,1,2,2,2,1,3],[12,2,3,2,1,2,2],[13,3,3,1,1,2,2],[14,1,2,2,2,1,1],[15,3,3,1,1,1,3],[16,1,1,2,1,2,1],[17,2,3,2,2,1,3],[18,2,2,1,2,2,2],[19,4,2,1,2,2,2],[20,3,1,2,1,1,1],[21,1,3,2,1,2,3],[22,3,2,2,2,2,1],[23,2,3,1,1,1,3],[24,1,1,2,2,2,2],[25,3,1,1,2,1,1],[26,4,2,1,1,1,3],[27,2,3,2,2,2,2],[28,2,1,1,2,2,1],[29,2,2,2,2,2,3],[30,1,3,2,1,1,2],[31,1,1,1,2,1,2],[32,3,1,2,1,2,3],[33,4,2,1,2,1,1],[34,3,2,2,1,1,2],[35,4,1,1,1,2,3],[36,2,1,2,2,1,3],[37,4,1,2,2,1,3],[38,3,3,2,2,2,3],[39,2,2,1,1,1,1],[40,4,1,1,2,2,1],[41,2,2,1,1,2,3],[42,2,3,2,1,1,2],[43,4,1,2,2,1,1],[44,3,3,2,2,2,2],[45,3,3,1,1,1,3],[46,4,1,2,1,1,2],[47,1,2,1,2,2,3],[48,4,2,1,1,2,2]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",2,2,3,3,3,2,2,3,3,2,2,3,3,3,3,1,2,1,2,1,1,3,2,3,1,2,3,2,2,2,2
53,05 Nov 2018 - 04:17:40 PST,05 Nov 2018 - 04:24:28 PST,0h 6m 48s,0h 6m 46s,1541420260,1541420668,1,5,,Q9,1,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G532MT) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.80 Mobile Safari/537.36",Android 6.0.1,Chrome 70.0.3538.80,187.79.211.204,360,,"[[1,1,2,1,2,1,3],[2,4,1,1,2,1,2],[3,3,3,2,1,2,2],[4,4,2,1,1,2,1],[5,3,2,2,1,1,3],[6,2,1,2,2,1,1],[7,3,2,1,2,2,3],[8,3,3,1,1,1,3],[9,1,1,2,1,1,2],[10,3,1,1,2,2,1],[11,1,2,2,1,1,2],[12,4,1,2,1,1,3],[13,1,1,2,1,2,1],[14,4,2,2,2,2,3],[15,1,3,1,2,1,2],[16,4,2,1,1,2,1],[17,2,1,1,2,1,1],[18,1,3,2,2,2,3],[19,1,1,1,1,2,2],[20,2,2,2,2,1,1],[21,2,3,2,2,2,2],[22,1,1,2,2,2,1],[23,2,3,2,2,2,2],[24,3,3,1,1,1,3],[25,4,1,1,2,2,1],[26,2,3,1,1,2,2],[27,2,3,2,1,1,3],[28,2,1,1,1,2,1],[29,4,1,1,2,1,2],[30,2,3,2,1,2,3],[31,4,2,1,1,1,1],[32,4,2,2,1,2,2],[33,2,3,1,2,1,3],[34,3,1,2,1,1,1],[35,2,2,1,1,1,2],[36,1,3,1,2,2,3],[37,4,1,2,2,1,3],[38,1,2,2,1,2,1],[39,3,3,1,2,2,2],[40,3,1,2,1,1,1],[41,1,2,1,2,1,1],[42,4,2,2,2,2,2],[43,4,1,2,1,2,3],[44,3,2,1,2,2,3],[45,1,3,1,1,1,2],[46,3,2,2,2,1,1],[47,3,3,2,2,1,2],[48,2,1,1,1,2,3]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",2,2,3,4,1,3,1,3,2,3,3,3,1,3,3,3,2,1,3,3,2,3,3,2,1,2,1,1,2,4,3
55,05 Nov 2018 - 06:47:07 PST,05 Nov 2018 - 06:50:06 PST,0h 2m 59s,0h 2m 56s,1541429227,1541429406,1,5,,Q9,1,"Mozilla/5.0 (Linux; Android 7.1.1; Moto E (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.80 Mobile Safari/537.36",Android 7.1.1,Chrome 70.0.3538.80,2605:e000:ad23:6200:2da7:b9eb:c4a3:86c9,592,,"[[1,3,3,2,2,1,2],[2,4,1,1,1,1,3],[3,3,2,1,1,2,1],[4,4,1,2,1,2,2],[5,3,2,1,2,1,1],[6,1,3,1,2,2,3],[7,4,2,2,2,1,2],[8,3,2,1,1,2,1],[9,1,3,2,1,1,2],[10,4,1,1,1,2,2],[11,3,3,2,2,2,3],[12,2,2,1,2,1,1],[13,2,3,1,1,2,3],[14,4,1,1,2,1,1],[15,1,3,2,2,1,2],[16,4,1,2,2,2,3],[17,2,2,2,1,2,1],[18,2,2,1,2,1,2],[19,3,3,1,2,2,2],[20,3,2,2,1,1,3],[21,2,1,2,1,1,1],[22,1,1,1,1,2,1],[23,4,2,1,1,1,3],[24,2,1,2,2,2,1],[25,1,3,2,2,2,3],[26,3,3,1,1,1,3],[27,4,2,1,1,1,2],[28,1,3,1,1,2,2],[29,2,2,2,2,2,3],[30,2,1,2,1,1,3],[31,3,1,2,1,2,2],[32,1,2,1,2,2,2],[33,4,1,1,2,1,3],[34,3,1,2,2,2,1],[35,2,3,1,1,1,2],[36,1,2,2,1,2,3],[37,1,1,1,1,1,1],[38,3,3,1,2,2,3],[39,3,1,2,2,1,1],[40,1,1,2,1,1,1],[41,4,2,2,2,2,1],[42,2,3,1,2,1,2],[43,1,1,1,2,1,1],[44,1,2,2,2,1,3],[45,2,3,2,1,2,2],[46,4,2,2,1,2,1],[47,2,1,1,2,2,2],[48,2,3,2,1,1,3]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",2,2,3,4,2,3,3,2,2,3,2,3,1,1,2,2,3,3,2,1,3,2,1,1,1,2,3,3,2,3,3
57,05 Nov 2018 - 08:25:09 PST,05 Nov 2018 - 08:27:27 PST,0h 2m 18s,0h 2m 11s,1541435109,1541435247,1,5,,Q9,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36",Mac OS X 10.12.6,Chrome 70.0.3538.77,162.231.57.35,1217,,"[[1,3,2,1,2,2,1],[2,4,1,2,1,2,2],[3,1,3,1,1,1,3],[4,3,2,1,2,2,1],[5,1,3,1,2,2,2],[6,4,1,2,1,1,3],[7,4,1,1,1,2,2],[8,3,2,2,1,1,2],[9,1,3,2,2,1,3],[10,1,2,2,2,2,1],[11,2,1,2,1,1,3],[12,3,3,1,1,2,2],[13,3,2,2,1,2,3],[14,4,2,1,2,1,2],[15,3,1,2,2,1,1],[16,4,1,2,2,2,1],[17,4,2,1,1,2,3],[18,2,3,1,2,1,2],[19,4,1,1,2,2,3],[20,1,2,1,1,1,1],[21,2,2,2,2,1,2],[22,1,1,1,1,1,1],[23,3,3,2,2,1,3],[24,2,2,1,1,2,1],[25,2,1,1,1,2,2],[26,4,2,2,1,1,2],[27,2,3,1,2,2,3],[28,1,3,2,1,2,3],[29,3,3,2,1,2,3],[30,1,1,1,2,1,1],[31,4,1,2,2,2,1],[32,2,3,1,1,1,2],[33,2,2,2,2,2,3],[34,1,2,2,1,2,3],[35,2,3,2,2,1,2],[36,2,1,1,2,1,3],[37,4,2,2,2,1,1],[38,3,1,2,2,2,2],[39,4,2,1,1,1,3],[40,1,1,1,2,2,3],[41,2,2,2,1,1,1],[42,3,1,1,1,1,1],[43,1,3,2,2,2,2],[44,4,2,1,2,1,1],[45,3,3,2,1,1,2],[46,1,3,1,1,2,2],[47,2,1,2,1,2,1],[48,3,3,1,2,1,3]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",1,1,1,2,1,3,2,3,1,3,2,3,3,1,2,3,2,1,2,3,3,2,3,2,2,3,1,2,3,3,2
58,05 Nov 2018 - 08:48:39 PST,05 Nov 2018 - 08:51:53 PST,0h 3m 14s,0h 3m 12s,1541436519,1541436713,1,5,,Q9,1,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36",Windows 7,Chrome 70.0.3538.77,12.28.165.226,1335,,"[[1,1,1,1,2,2,3],[2,3,3,2,2,1,3],[3,4,2,1,1,1,1],[4,2,3,2,1,2,2],[5,4,2,1,2,1,3],[6,3,2,1,1,1,2],[7,4,1,1,1,1,1],[8,2,2,1,2,1,3],[9,2,3,2,1,2,3],[10,3,2,1,2,2,1],[11,1,3,2,2,2,3],[12,4,1,2,1,1,2],[13,3,2,2,2,1,1],[14,4,1,2,1,1,3],[15,1,3,1,1,2,2],[16,2,1,2,1,2,1],[17,3,3,1,2,2,2],[18,4,2,2,2,1,3],[19,3,1,2,1,2,1],[20,2,3,1,2,1,2],[21,4,1,1,1,2,3],[22,4,1,1,2,2,1],[23,3,2,2,1,2,3],[24,2,3,2,2,1,2],[25,1,2,1,1,1,1],[26,2,1,1,2,2,3],[27,1,1,2,1,1,2],[28,2,2,1,1,2,2],[29,4,2,2,1,2,1],[30,3,3,1,2,1,3],[31,1,2,2,2,1,1],[32,3,3,1,1,2,2],[33,4,2,2,2,2,2],[34,3,1,2,2,2,1],[35,4,1,1,2,2,2],[36,2,2,1,1,1,1],[37,1,1,2,2,1,2],[38,1,3,1,1,1,2],[39,1,1,1,1,2,3],[40,2,1,2,2,1,1],[41,4,2,2,2,2,2],[42,3,3,1,1,1,3],[43,1,3,2,2,2,3],[44,2,1,1,2,1,1],[45,2,2,2,1,2,3],[46,3,1,2,1,1,2],[47,1,2,1,2,2,1],[48,1,3,2,1,1,3]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",2,2,3,4,2,1,1,2,1,2,2,2,2,1,3,2,1,1,2,2,2,2,3,1,2,1,1,2,2,3,2
59,05 Nov 2018 - 09:19:29 PST,05 Nov 2018 - 09:25:38 PST,0h 6m 9s,0h 6m 5s,1541438369,1541438738,1,5,,Q9,1,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930P Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.126 Mobile Safari/537.36",Android 8.0.0,Chrome 66.0.3359.126,2600:1:9a5e:efab:bc87:7d37:84dd:8025,360,,"[[1,3,3,1,2,1,3],[2,1,1,2,2,1,1],[3,3,2,2,1,2,2],[4,3,2,1,2,2,1],[5,3,1,2,2,1,3],[6,4,2,2,1,2,2],[7,2,2,2,2,1,1],[8,3,1,1,1,2,3],[9,1,3,1,2,2,2],[10,4,2,2,2,1,3],[11,2,1,2,1,2,1],[12,3,3,1,2,1,2],[13,1,1,1,1,1,1],[14,4,2,1,2,2,3],[15,4,1,2,1,1,2],[16,4,1,1,2,2,1],[17,3,3,1,1,1,3],[18,2,2,2,1,2,3],[19,1,1,1,1,1,3],[20,3,3,2,2,2,2],[21,2,1,1,2,1,2],[22,1,2,1,1,1,1],[23,2,3,2,2,1,2],[24,1,3,2,1,2,3],[25,2,2,1,1,1,1],[26,1,3,1,1,2,2],[27,2,2,2,2,1,3],[28,1,2,1,1,2,1],[29,2,3,2,1,2,2],[30,3,1,2,2,1,1],[31,1,3,2,2,1,3],[32,2,3,2,1,1,3],[33,4,2,1,2,2,1],[34,1,3,2,2,2,3],[35,2,1,1,1,2,3],[36,4,2,1,1,1,2],[37,1,2,1,2,1,2],[38,4,1,2,1,2,3],[39,2,1,1,2,2,1],[40,4,1,2,2,2,2],[41,4,2,2,1,1,1],[42,2,3,1,2,2,3],[43,1,2,2,2,2,2],[44,2,3,1,1,1,2],[45,3,1,2,1,2,1],[46,4,1,1,2,1,2],[47,3,3,1,1,2,2],[48,3,2,2,1,1,1]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",2,2,2,1,1,3,2,3,2,3,1,3,1,3,3,1,2,3,3,2,2,3,2,2,1,2,1,1,3,2,2
60,05 Nov 2018 - 09:37:17 PST,05 Nov 2018 - 09:40:54 PST,0h 3m 37s,0h 3m 33s,1541439437,1541439654,1,5,,Q9,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Mac OS X 10.13.6,Safari 11.1.2,2605:e000:84e8:de00:e5c5:daa4:57c3:ffed,1532,,"[[1,1,3,1,2,2,3],[2,4,2,1,2,2,2],[3,1,1,2,1,1,1],[4,2,3,1,1,2,3],[5,1,1,1,1,1,2],[6,4,2,2,2,1,1],[7,1,1,2,2,1,1],[8,1,2,1,2,1,3],[9,2,2,2,1,2,1],[10,2,1,2,1,1,1],[11,3,3,1,2,1,3],[12,4,1,2,1,2,3],[13,3,1,1,1,2,1],[14,3,2,1,2,1,1],[15,1,3,2,1,2,2],[16,3,3,2,2,2,2],[17,4,1,1,1,2,2],[18,1,3,2,1,1,3],[19,3,3,2,2,1,2],[20,2,1,1,2,2,3],[21,1,2,1,1,1,1],[22,4,1,1,2,1,2],[23,3,1,2,1,2,2],[24,2,3,2,2,2,3],[25,4,2,2,1,2,2],[26,3,3,2,2,1,3],[27,2,1,1,2,2,1],[28,2,2,2,2,1,2],[29,3,2,1,1,2,1],[30,2,1,2,2,1,3],[31,3,3,1,1,1,2],[32,3,1,2,1,1,3],[33,1,2,1,2,2,1],[34,4,1,2,2,2,1],[35,3,2,1,2,2,3],[36,2,3,1,1,1,2],[37,2,2,2,1,2,2],[38,2,3,1,2,1,2],[39,4,2,2,1,1,1],[40,1,3,1,1,1,2],[41,3,2,2,2,2,1],[42,4,2,2,1,1,3],[43,1,2,2,1,2,3],[44,2,3,1,1,2,3],[45,4,1,1,2,1,2],[46,4,1,1,2,2,1],[47,1,3,2,2,2,2],[48,4,2,1,1,1,3]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",4,3,3,4,2,2,3,3,2,3,3,2,3,1,1,3,2,1,1,1,3,2,2,1,3,2,2,2,2,4,2
